assay	experiment_ID	orf_name_a	orf_name_b	orf_name_f1	orf_name_f2	F1_CCSB_ORF_ID	F2_CCSB_ORF_ID	source_dataset	score	result_at_0_RRS
GPCA	Sv01	YER099C	YKL181W	YER099C	YKL181W	1186	1814	Tarassov	10.612868497291041	False
GPCA	Sv01	YHR007C	YHR042W	YHR007C	YHR042W	4621	1189	Tarassov		
GPCA	Sv01	YCR011C	YNL154C	YNL154C	YCR011C	3771	1191	Uetz-screen	9.625708843064466	False
GPCA	Sv01	YDR018C	YDR513W	YDR513W	YDR018C	1193	2390	GI_PSN_PCC_gt_0.2	16.322315485387787	True
GPCA	Sv01	YBR123C	YPL225W	YBR123C	YPL225W	1883	1194	YeRI	10.222794902868111	False
GPCA	Sv01	YML108W	YPL225W	YPL225W	YML108W	1194	4123	YeRI	9.834471049984222	False
GPCA	Sv01	YHR151C	YPR153W	YPR153W	YHR151C	1197	3286	GI_PSN_PCC_gt_0.3	14.069785394983302	False
GPCA	Sv01	YDR228C	YOR250C	YOR250C	YDR228C	11	5312	Lit-BM-13	16.479006552822185	True
GPCA	Sv01	YDR228C	YOR250C	YOR250C	YDR228C	11	5312	YeRI	16.479006552822185	True
GPCA	Sv01	YKL078W	YOR250C	YOR250C	YKL078W	11	5338	YeRI	9.25502856981873	False
GPCA	Sv01	YLR448W	YNL067W	YLR448W	YNL067W	1902	1200	CYC2008		
GPCA	Sv01	YNL067W	YPL143W	YPL143W	YNL067W	5028	1200	CYC2008		
GPCA	Sv01	YFR032C-A	YNL067W	YNL067W	YFR032C-A	1200	5561	CYC2008		
GPCA	Sv01	YBR041W	YHR072W	YHR072W	YBR041W	1201	5227	Lit-BM-13	9.271463027904375	False
GPCA	Sv01	YIL143C	YLR005W	YLR005W	YIL143C	1204	1592	CYC2008	9.560332834212442	False
GPCA	Sv01	YDR311W	YLR005W	YLR005W	YDR311W	1204	2141	CYC2008		
GPCA	Sv01	YGR258C	YLR005W	YLR005W	YGR258C	1204	2326	CYC2008		
GPCA	Sv01	YLR005W	YPL122C	YLR005W	YPL122C	1204	3767	CYC2008	9.364134655008051	False
GPCA	Sv01	YAR007C	YLR005W	YAR007C	YLR005W	4808	1204	PrePPI-LR600		
GPCA	Sv01	YLR005W	YPR056W	YLR005W	YPR056W	1204	5109	CYC2008	11.848622940429337	False
GPCA	Sv01	YER171W	YLR005W	YLR005W	YER171W	1204	5279	CYC2008	9.85642552862553	False
GPCA	Sv01	YER171W	YLR005W	YLR005W	YER171W	1204	5279	Lit-BM-13	9.85642552862553	False
GPCA	Sv01	YGR113W	YPL233W	YGR113W	YPL233W	3236	1206	GI_PSN_PCC_gt_0.2	9.674192268145685	False
GPCA	Sv01	YER081W	YPL233W	YPL233W	YER081W	1206	4849	Ito-core	11.338179249900112	False
GPCA	Sv01	YIR010W	YPL233W	YPL233W	YIR010W	1206	5153	GI_PSN_PCC_gt_0.5		
GPCA	Sv01	YCL059C	YOR128C	YCL059C	YOR128C	1209	5054	scRRS-v2	10.33427328530719	False
GPCA	Sv01	YCL059C	YML093W	YCL059C	YML093W	1209	5233	YeRI	9.586839787961827	False
GPCA	Sv01	YPL002C	YPL065W	YPL002C	YPL065W	1211	1368	YeRI	9.271463027904375	False
GPCA	Sv01	YOR390W	YPL002C	YPL002C	YOR390W	1211	1995	GI_PSN_PCC_gt_0.2	9.4241662888181	False
GPCA	Sv01	YDL087C	YPL002C	YPL002C	YDL087C	1211	2984	YeRI	11.33427328530719	False
GPCA	Sv01	YOR368W	YPL002C	YPL002C	YOR368W	1211	2994	YeRI	9.756556322524087	False
GPCA	Sv01	YJR102C	YPL002C	YPL002C	YJR102C	1211	3110	YeRI	17.653943657423753	True
GPCA	Sv01	YLR417W	YPL002C	YPL002C	YLR417W	1211	3437	Uetz-screen	15.293866755224187	False
GPCA	Sv01	YMR077C	YPL002C	YMR077C	YPL002C	5554	1211	YeRI	9.303780748177104	False
GPCA	Sv01	YBL049W	YOR275C	YBL049W	YOR275C	1217	2255	YeRI	10.047123912114026	False
GPCA	Sv01	YPL264C	YPR159W	YPR159W	YPL264C	2560	1218	YeRI	14.189129600461142	False
GPCA	Sv01	YCR003W	YMR225C	YMR225C	YCR003W	3811	1221	CYC2008		
GPCA	Sv01	YNL125C	YPL192C	YNL125C	YPL192C	2545	1223	YeRI	10.127994320976393	False
GPCA	Sv01	YPL192C	YPR159W	YPR159W	YPL192C	2560	1223	YeRI	9.823367240046236	False
GPCA	Sv01	YOL044W	YPL192C	YPL192C	YOL044W	1223	5017	YeRI	10.154818109052105	False
GPCA	Sv01	YJL163C	YPL192C	YPL192C	YJL163C	1223	5056	YeRI	9.929258408636974	False
