orf_name	screened_as_AD	screened_as_DB
YDL161W	True	False
YDL162C	True	True
YDL163W	True	False
YDL164C	True	True
YDL165W	True	False
YDL166C	True	True
YDL168W	True	True
YDL169C	True	False
YDL170W	True	False
YDL172C	True	True
YDL173W	True	True
YDL174C	True	False
YDL175C	True	True
YDL176W	True	True
YDL177C	True	True
YDL179W	True	True
YDL180W	True	False
YDL181W	True	True
YDL182W	False	True
YDL183C	True	True
YDL184C	True	True
YDL185C-A	True	True
YDL185W	True	True
YDL186W	True	True
YDL187C	True	False
YDL188C	True	False
YDL189W	True	True
YDL190C	True	True
YDL191W	True	True
YDL192W	True	True
YDL193W	True	True
YDL194W	True	False
YDL195W	True	True
YDL196W	True	True
YDL197C	False	True
YDL198C	True	True
YDL199C	True	False
YDL200C	True	True
YDL201W	True	True
YDL202W	True	True
YDL203C	True	False
YDL204W	False	True
YDL205C	True	False
YDL206W	True	True
YDL207W	True	True
YDL208W	True	True
YDL209C	True	True
YDL210W	True	False
YDL211C	True	True
YDL212W	True	True
YDL213C	True	True
YDL214C	True	True
YDL216C	True	False
YDL217C	True	True
YDL218W	True	True
YDL219W	True	True
YDL220C	True	True
YDL221W	True	True
YDL222C	True	False
YDL223C	True	True
YDL224C	True	False
YDL227C	True	True
YDL228C	True	True
YDL230W	True	True
YDL231C	False	True
YDL232W	True	True
YDL233W	True	True
YDL234C	True	False
YDL235C	True	False
YDL236W	True	True
YDL237W	True	True
YDL238C	True	True
YDL239C	True	True
YDL240C-A	True	True
YDL240W	True	False
YDL241W	True	False
YDL242W	True	True
YDL243C	True	True
YDL247W-A	True	True
YDL248W	True	True
YDR001C	True	True
YDR002W	True	True
YDR003W	True	True
YDR004W	True	True
YDR005C	True	False
YDR006C	True	False
YDR007W	True	True
YDR008C	True	True
YDR009W	True	True
YDR010C	True	True
YDR012W	True	True
YDR013W	True	True
YDR014W	True	False
YDR016C	True	False
YDR017C	True	True
YDR018C	True	True
YDR019C	True	True
YDR020C	True	False
YDR021W	True	False
YDR022C	True	False
YDR023W	True	True
YDR024W	True	True
YDR025W	True	False
YDR026C	True	False
YDR027C	True	True
YDR028C	True	False
YDR029W	True	True
YDR030C	True	False
YDR031W	True	True
YDR032C	True	True
YDR034C	True	False
YDR034C-A	True	True
YDR034W-B	True	True
YDR035W	True	True
YDR036C	True	True
YDR037W	True	True
YDR038C	False	True
