orf_name_a	gene_name_a	orf_name_b	gene_name_b	in_I3D-exp-24	in_Lit-BM-24	in_Y2H-union-08
YHR005C	GPA1	YMR069W	NAT4	False	True	False
YHR007C	ERG11	YNL280C	ERG24	False	True	False
YHR010W	RPL27A	YLL045C	RPL8B	False	True	False
YHR010W	RPL27A	YMR116C	ASC1	False	True	False
YHR010W	RPL27A	YPL146C	NOP53	False	True	False
YHR015W	MIP6	YPL169C	MEX67	False	True	False
YHR016C	YSC84	YHR016C	YSC84	False	True	False
YHR016C	YSC84	YJR083C	ACF4	False	True	False
YHR016C	YSC84	YLL023C	POM33	False	True	False
YHR016C	YSC84	YLR144C	ACF2	False	True	False
YHR016C	YSC84	YMR192W	GYL1	False	True	False
YHR016C	YSC84	YNL084C	END3	False	True	False
YHR016C	YSC84	YNL094W	APP1	False	True	False
YHR016C	YSC84	YNL243W	SLA2	False	True	False
YHR016C	YSC84	YOL070C	NBA1	False	True	False
YHR016C	YSC84	YOR042W	CUE5	False	True	False
YHR016C	YSC84	YOR181W	LAS17	False	True	False
YHR016C	YSC84	YOR284W	HUA2	False	True	False
YHR016C	YSC84	YPL249C	GYP5	False	True	False
YHR016C	YSC84	YPR055W	SEC8	False	True	False
YHR016C	YSC84	YPR171W	BSP1	False	True	False
YHR018C	ARG4	YPL240C	HSP82	False	True	False
YHR023W	MYO1	YHR023W	MYO1	False	True	False
YHR023W	MYO1	YHR114W	BZZ1	False	True	False
YHR023W	MYO1	YJL034W	KAR2	False	True	False
YHR023W	MYO1	YJR046W	TAH11	False	True	False
YHR023W	MYO1	YKL060C	FBA1	False	True	False
YHR023W	MYO1	YKL079W	SMY1	False	True	False
YHR023W	MYO1	YKL157W	APE2	False	True	False
YHR023W	MYO1	YKL179C	COY1	False	True	False
YHR023W	MYO1	YLR089C	ALT1	False	True	False
YHR023W	MYO1	YLR192C	HCR1	False	True	False
YHR023W	MYO1	YMR186W	HSC82	False	True	False
YHR023W	MYO1	YNL272C	SEC2	False	True	False
YHR023W	MYO1	YPL131W	RPL5	False	True	False
YHR023W	MYO1	YPR188C	MLC2	False	True	False
YHR027C	RPN1	YHR027C	RPN1	False	True	False
YHR027C	RPN1	YLL039C	UBI4	False	True	False
YHR027C	RPN1	YMR276W	DSK2	False	True	False
YHR027C	RPN1	YOL038W	PRE6	False	True	False
YHR027C	RPN1	YOR117W	RPT5	False	True	False
YHR027C	RPN1	YOR261C	RPN8	False	True	False
YHR027C	RPN1	YPR108W	RPN7	False	True	False
YHR030C	SLT2	YIL113W	SDP1	False	True	False
YHR030C	SLT2	YJL095W	BCK1	False	True	False
YHR030C	SLT2	YKL181W	PRS1	False	True	False
YHR030C	SLT2	YLL021W	SPA2	False	True	False
YHR030C	SLT2	YLR418C	CDC73	False	True	False
YHR030C	SLT2	YNL053W	MSG5	False	True	False
YHR030C	SLT2	YNR031C	SSK2	False	True	False
YHR030C	SLT2	YOL145C	CTR9	False	True	False
YHR030C	SLT2	YOR123C	LEO1	False	True	False
YHR030C	SLT2	YOR231W	MKK1	False	True	False
YHR030C	SLT2	YPL089C	RLM1	False	True	False
YHR030C	SLT2	YPL140C	MKK2	False	True	True
YHR030C	SLT2	YPL240C	HSP82	False	True	False
YHR031C	RRM3	YNL261W	ORC5	False	True	False
YHR031C	RRM3	YOR351C	MEK1	False	True	False
YHR034C	PIH1	YHR040W	BCD1	False	True	False
