orf_name	GenBank_accession	ORFeome_collection	screened_as_DB	screened_as_AD
YKL196C	AY558393	FLEXGene	True	True
YKL195W	EF058318	FLEXGene	True	True
YKL194C	DQ332411	FLEXGene	True	True
YKL193C	AY558314	FLEXGene	True	True
YKL192C	AY558392	FLEXGene	True	True
YKL191W	DQ332383	FLEXGene	True	True
YKL190W		CCSB_additional	False	True
YKL189W	EF059368	FLEXGene	True	True
YKL188C	EF059359	FLEXGene	True	True
YKL187C	EF058370	FLEXGene	True	True
YKL186C	AY558555	FLEXGene	True	True
YKL185W	DQ333053	FLEXGene	True	True
YKL184W	DQ331707	FLEXGene	True	True
YKL183C-A	DQ331425	FLEXGene	True	True
YKL183W	DQ331685	FLEXGene	True	True
YKL182W	EF058906	FLEXGene	True	True
YKL181W	DQ332824	FLEXGene	True	True
YKL180W	DQ333171	FLEXGene	True	True
YKL179C	EF058770	FLEXGene	True	True
YKL178C	AY692742	FLEXGene	True	True
YKL176C	DQ332526	FLEXGene	True	True
YKL175W		CCSB_additional	True	True
YKL174C	EF058379	FLEXGene	True	True
YKL173W	EF059302	FLEXGene	False	True
YKL172W	DQ332287	FLEXGene	True	True
YKL171W	EF058341	FLEXGene	True	True
YKL170W	AY693037	FLEXGene	True	True
YKL168C	DQ333016	FLEXGene	True	True
YKL167C	AY692991	FLEXGene	True	True
YKL166C	DQ331963	FLEXGene	True	True
YKL165C	DQ331948	FLEXGene	True	True
YKL164C	EF059026	FLEXGene	True	True
YKL163W	EF059023	FLEXGene	True	True
YKL162C	AY692700	FLEXGene	True	True
YKL161C	DQ331300	FLEXGene	False	True
YKL160W	AY558355	FLEXGene	True	True
YKL159C	DQ331714	FLEXGene	True	True
YKL157W	AY558356	FLEXGene	True	True
YKL156W		CCSB_additional	True	True
YKL155C	DQ331517	FLEXGene	True	True
YKL154W	DQ331508	FLEXGene	True	True
YKL152C	DQ332621	FLEXGene	True	True
YKL151C	AY557915	FLEXGene	True	True
YKL150W	DQ333126	FLEXGene	True	True
YKL149C	EF059468	FLEXGene	True	True
YKL148C	DQ332502	FLEXGene	True	True
YKL146W	DQ332455	FLEXGene	True	True
YKL145W	DQ332430	FLEXGene	True	True
YKL144C	DQ332260	FLEXGene	True	True
YKL143W	EF059262	FLEXGene	False	True
YKL142W	AY558357	FLEXGene	True	True
YKL141W	AY693024	FLEXGene	True	True
YKL140W	DQ332063	FLEXGene	True	True
YKL139W	DQ332257	FLEXGene	True	True
YKL138C-A	EF058671	FLEXGene	False	True
YKL138C	DQ332108	FLEXGene	True	True
YKL137W	EF058331	FLEXGene	True	True
YKL135C	DQ332983	FLEXGene	True	True
YKL134C		CCSB_additional	True	True
YKL133C	EF058607	FLEXGene	True	True
YKL132C	DQ332943	FLEXGene	True	True
YKL130C	AY557902	FLEXGene	True	True
YKL129C		CCSB_additional	True	True
YKL128C	AY692900	FLEXGene	True	True
YKL127W	DQ331803	FLEXGene	True	True
YKL126W	DQ331688	FLEXGene	True	True
YKL125W	DQ331668	FLEXGene	True	True
YKL124W	DQ332883	FLEXGene	True	True
YKL122C	AY558352	FLEXGene	True	True
YKL121W		CCSB_additional	True	True
YKL120W	DQ333160	FLEXGene	True	True
YKL119C	DQ331994	FLEXGene	True	True
