ad_orf_name	db_orf_name	in_screen_1	in_screen_2	in_screen_3	manual_score_growth
YPL002C	YGR268C	0	0	1	2
YKL138C-A	YNL086W	0	1	1	3
YIR010W	YGL093W	1	1	1	2
YGR003W	YOR385W	0	0	1	2
YPL002C	YLR291C	0	0	1	2
YPR159W	YPR174C	0	1	1	2
YOR194C	YKL058W	0	0	1	4
YNR039C	YPR174C	0	0	1	1
YJL122W	YBR103W	0	0	1	3
YPR159W	YPL264C	0	0	1	1
YPR159W	YPL192C	0	0	1	2
YNL125C	YPL192C	1	1	1	2
YMR312W	YCR009C	0	1	1	3
YGR128C	YPL126W	0	0	1	2
YER136W	YFL005W	0	1	1	4
YDL088C	YFR002W	0	0	1	3
YNL086W	YML064C	0	1	1	3
YMR232W	YER127W	1	0	1	4
YHR159W	YML064C	0	0	1	1
YKL192C	YDR075W	0	1	1	4
YNL086W	YER127W	0	1	1	4
YNL086W	YOL069W	1	1	1	4
YPR101W	YDR364C	1	0	1	4
YMR232W	YNL189W	0	0	1	3
YKR035W-A	YER116C	1	0	1	4
YGR195W	YML064C	0	1	1	1
YPR045C	YML064C	0	1	1	1
YGL174W	YLR368W	0	0	1	1
YCR020W-B	YFR037C	1	1	1	4
YGL091C	YML051W	0	0	1	2
YDL088C	YML051W	0	0	1	4
YNL086W	YML051W	0	1	1	4
YFL010C	YML051W	0	0	1	4
YHL012W	YML051W	0	0	1	4
YPL262W	YLR274W	1	0	1	1
YKL075C	YDR379C-A	0	0	1	4
YNL086W	YLL049W	0	1	1	4
YNL086W	YPL065W	0	1	1	2
YHR159W	YNL189W	0	0	1	1
YNL086W	YDL113C	1	1	1	4
YIL046W	YML082W	0	0	1	3
YNL086W	YGR128C	0	0	1	3
YLR405W	YPL108W	0	0	1	4
YPR178W	YLR368W	0	0	1	3
YGL127C	YCR063W	0	1	1	4
YCL017C	YOR226C	0	0	1	1
YER112W	YNL147W	0	0	1	4
YLL027W	YER094C	1	1	1	3
YLL027W	YPR178W	0	0	1	3
YOR157C	YER094C	0	1	1	4
YDR175C	YER094C	0	0	1	2
YFR043C	YBL037W	0	0	1	4
YGL060W	YBL009W	0	0	1	3
YGR239C	YMR267W	1	1	1	4
YMR042W	YDR173C	1	1	1	4
YLR224W	YDR328C	1	1	1	1
YPL173W	YHL004W	0	0	1	2
YFL060C	YFL059W	0	1	1	3
YBR060C	YLL004W	1	1	1	4
YGR168C	YOR368W	0	1	1	3
YPL148C	YOR368W	0	0	1	3
YKL029C	YOR368W	1	1	1	4
YJR084W	YPR045C	1	0	1	4
YDR378C	YNL147W	0	0	1	2
YKL138C-A	YGL061C	0	0	1	3
YLR356W	YCL057C-A	1	1	1	4
YGR235C	YCL057C-A	1	0	1	2
YGR235C	YPL112C	1	0	1	2
YKR039W	YML132W	0	0	1	2
YLR356W	YKL018C-A	1	0	1	2
YBR282W	YNL153C	1	1	1	3
YHR067W	YKL192C	0	0	1	2
YGR078C	YLR291C	0	1	1	4
YGR239C	YLR291C	0	0	1	4
YLR356W	YOL026C	0	0	1	1
YJR003C	YHR075C	1	1	1	2
YLR356W	YNL204C	0	0	1	3
YIR018W	YOR039W	0	1	1	3
YGR235C	YDR142C	1	1	1	2
YML030W	YDR142C	0	0	1	2
YGR239C	YDR142C	1	1	1	4
YGR235C	YJL185C	0	0	1	2
YLR119W	YER094C	0	0	1	4
YDR311W	YLR423C	0	1	1	3
YJL140W	YDR404C	0	1	1	3
YLR433C	YBL107C	0	1	1	4
YNL165W	YNL116W	1	0	1	2
YDR179C	YDL147W	1	1	1	4
YGL209W	YOR071C	0	0	1	1
YLR234W	YPL024W	0	1	1	4
YMR233W	YKR092C	0	0	1	1
YOR023C	YDL044C	0	0	1	3
YLR099W-A	YJL036W	0	0	1	4
YDR192C	YBL031W	0	1	1	2
YJR068W	YBR087W	1	1	1	3
YLR099W-A	YDR373W	0	1	1	4
YOR157C	YDR428C	1	1	1	4
YPL018W	YOR176W	0	1	1	4
YDR295C	YOR304C-A	0	0	1	2
YLR381W	YJR135C	0	1	1	4
YDR175C	YKR027W	0	0	1	2
YDR295C	YPR083W	0	1	1	3
YGL192W	YCL055W	0	1	1	4
YDL116W	YKR082W	1	1	1	4
YLR181C	YER128W	0	1	1	4
YOL111C	YDR267C	0	0	1	3
YPL002C	YMR077C	0	0	1	2
YKL155C	YPR178W	0	0	1	2
YDL044C	YER094C	1	1	1	3
YDL044C	YJR046W	0	0	1	2
YBL043W	YJR046W	0	0	1	3
YJR152W	YIL089W	0	0	1	4
YNL055C	YGR142W	0	1	1	4
YBR114W	YML095C	0	1	1	4
YCR009C	YDR388W	0	1	1	4
YJR050W	YLR117C	0	1	1	4
YPL065W	YLR119W	0	1	1	2
YBR061C	YMR055C	0	0	1	2
YMR312W	YPL101W	0	1	1	4
YNL125C	YBR036C	1	0	1	1
YPR159W	YBR036C	1	0	1	1
YBR058C-A	YGR038W	0	1	1	1
YNL125C	YNL234W	0	0	1	1
YBR146W	YGR158C	0	0	1	3
YHL006C	YIL132C	0	0	1	3
YNL290W	YOL094C	0	1	1	4
YPR159W	YAR027W	1	1	1	2
YFR027W	YLR117C	0	0	1	3
YNL196C	YCL055W	0	0	1	4
YEL054C	YDR465C	1	0	1	4
YER136W	YOR089C	0	0	1	4
YBR068C	YEL001C	0	0	1	3
YDR357C	YPL225W	0	1	1	4
YBR123C	YPL225W	0	1	1	4
YMR153W	YNL234W	1	0	1	3
YHR166C	YJL036W	0	0	1	2
YKL049C	YJL036W	0	0	1	3
YOR158W	YJL036W	0	0	1	4
YOR158W	YJR011C	0	0	1	3
YDR308C	YLR347C	1	0	1	3
YMR153W	YPR159C-A	1	0	1	2
YGR042W	YER095W	0	0	1	2
YDR142C	YIL160C	1	1	1	4
YNL100W	YPR128C	0	1	1	3
YNL100W	YCL056C	1	1	1	3
YMR153W	YCL021W-A	1	0	1	3
YOL128C	YPR175W	0	0	1	2
YOL149W	YMR239C	0	1	1	1
YOR075W	YDR189W	1	0	1	4
YMR077C	YLR119W	0	1	1	4
YLL029W	YDR453C	0	0	1	1
YOL128C	YGL115W	0	0	1	1
YOR319W	YMR240C	0	0	1	4
YMR068W	YDL127W	1	0	1	3
YDL053C	YGR178C	0	1	1	4
YER068W	YDR059C	1	1	1	3
YJR003C	YMR213W	0	0	1	2
YML030W	YIL065C	0	0	1	2
YGR235C	YIL065C	1	1	1	4
YGR235C	YML030W	0	0	1	3
YLR356W	YIL065C	1	1	1	4
YDL053C	YHR121W	0	1	1	4
YML098W	YML015C	1	1	1	4
YGR235C	YGR133W	0	0	1	3
YOR117W	YJL184W	0	0	1	3
YKR022C	YNL107W	0	0	1	2
YJR003C	YER128W	1	1	1	3
YPL173W	YDL043C	0	0	1	2
YPL173W	YLR439W	0	0	1	3
YLR183C	YPL204W	0	1	1	3
YLR409C	YCR057C	1	0	1	4
YGR146C	YPL070W	0	0	1	3
YLR385C	YLR417W	0	1	1	3
YGL209W	YGL209W	0	0	1	1
YMR100W	YNL094W	1	0	1	2
YPR017C	YOR279C	0	0	1	3
YPL173W	YGR076C	1	1	1	4
YMR265C	YMR020W	0	0	1	3
YGR168C	YPR128C	0	1	1	2
YFL060C	YMR239C	0	1	1	3
YDR013W	YOR115C	1	0	1	2
YBL006C	YJR011C	0	0	1	3
YDR246W	YDR472W	0	1	1	4
YLR021W	YPL144W	0	0	1	4
YPL271W	YDL004W	1	0	1	4
YNL164C	YGR261C	0	1	1	2
YKL012W	YPR083W	1	1	1	1
YGR020C	YEL051W	0	0	1	4
YBR109C	YGL106W	0	1	1	4
YBR273C	YPR113W	0	1	1	2
YBR060C	YDL111C	0	0	1	2
YDR013W	YPR175W	0	1	1	3
YGR168C	YOR089C	0	1	1	1
YGR168C	YBR249C	0	1	1	2
YER136W	YFL038C	0	0	1	4
YNR039C	YNL111C	0	0	1	1
YIR005W	YGL174W	0	1	1	4
YNR046W	YML014W	0	0	1	4
YFR027W	YLR291C	1	0	1	4
YHL006C	YKL183W	0	1	1	3
YOR194C	YGR074W	1	1	1	1
YHL021C	YOR210W	0	0	1	2
YPL108W	YLR405W	0	1	1	4
YDR067C	YPL070W	0	0	1	4
YDL088C	YJL117W	0	0	1	2
YMR025W	YDR179C	1	1	1	4
YKR035W-A	YER128W	0	0	1	4
YNL086W	YNL107W	1	1	1	4
YAL034W-A	YLR052W	1	0	1	4
YNL086W	YDR201W	0	1	1	4
YDL088C	YPR017C	0	1	1	3
YGR280C	YLR197W	0	0	1	3
YNL086W	YNL084C	0	1	1	4
YEL041W	YPL188W	0	1	1	4
YIL097W	YOR117W	1	1	1	4
YOR259C	YOR117W	0	0	1	3
YKR020W	YKR022C	0	0	1	4
YAL034W-A	YJR112W	1	0	1	4
YNL086W	YJR112W	1	1	1	3
YGL079W	YJR112W	0	0	1	3
YNL086W	YLR031W	1	1	1	4
YFR046C	YPR120C	0	0	1	4
YMR267W	YGR239C	0	0	1	2
YKL075C	YBR269C	0	1	1	3
YEL041W	YNL116W	0	1	1	4
YKL161C	YNL053W	0	0	1	4
YHR161C	YNL020C	0	1	1	2
YPR159W	YGR222W	0	0	1	1
YNR039C	YDL089W	0	0	1	2
YDR181C	YOR213C	0	1	1	4
YLL007C	YMR168C	1	0	1	2
YLR356W	YPL135W	1	1	1	4
YJR112W	YLR313C	0	0	1	3
YBR282W	YJR046W	0	0	1	4
YJR003C	YJR046W	1	1	1	2
YOR279C	YMR168C	0	1	1	2
YML112W	YJL006C	0	1	1	3
YLR356W	YGL080W	0	0	1	2
YGR146C	YOR368W	0	1	1	3
YPL173W	YER094C	0	1	1	3
YGR235C	YJL112W	1	0	1	3
YGR048W	YGR010W	0	1	1	2
YJR010C-A	YML055W	1	1	1	4
YML063W	YML064C	0	0	1	4
YGR048W	YML064C	0	1	1	3
YGR048W	YJL110C	0	0	1	2
YOR023C	YGL044C	0	1	1	3
YKL078W	YOR250C	0	0	1	3
YDR130C	YBR170C	0	0	1	1
YDL013W	YJL110C	0	0	1	2
YDR498C	YGL145W	0	0	1	1
YGR048W	YPL049C	0	0	1	3
YLL027W	YLR368W	0	0	1	2
YDR200C	YBR260C	1	0	1	2
YDR175C	YMR130W	1	1	1	2
YDL013W	YDL013W	0	0	1	2
YPR031W	YDR484W	0	0	1	3
YDR228C	YPL065W	0	0	1	2
YGR048W	YHR113W	0	1	1	2
YDR130C	YJR050W	0	0	1	1
YMR213W	YJR068W	0	0	1	2
YML016C	YMR271C	1	1	1	2
YLR288C	YLR165C	0	0	1	2
YML016C	YMR311C	1	0	1	1
YML130C	YDL183C	0	0	1	2
YLR052W	YML064C	0	0	1	2
YLR433C	YMR073C	0	0	1	4
YDR351W	YML064C	0	0	1	1
YKL164C	YML064C	0	0	1	4
YMR213W	YER127W	0	0	1	1
YOR223W	YDL226C	0	1	1	4
YPL199C	YDL226C	0	0	1	1
