orf_name_a	gene_name_a	orf_name_b	gene_name_b	n_evidence	category
YGL113W	SLD3	YOR060C	SLD7	4	Lit-BM
YLR319C	BUD6	YNL271C	BNI1	4	Lit-BM
YDL088C	ASM4	YJL039C	NUP192	2	Lit-BM
YBL007C	SLA1	YOR181W	LAS17	10	Lit-BM
YNL255C	GIS2	YPL119C	DBP1	1	Lit-BS
YBR200W	BEM1	YDL028C	MPS1	3	Lit-BM
YDR510W	SMT3	YNL209W	SSB2	2	Lit-BM
YKL058W	TOA2	YOR194C	TOA1	9	Lit-BM
YDL220C	CDC13	YDL220C	CDC13	12	Lit-BM
YOR181W	LAS17	YPR154W	PIN3	8	Lit-BM
YGL172W	NUP49	YGL172W	NUP49	4	Lit-BM
YLR371W	ROM2	YNL283C	WSC2	1	Lit-BS
YDR477W	SNF1	YNL055C	POR1	2	Lit-BM
YHR030C	SLT2	YOR123C	LEO1	2	Lit-BM
YLR045C	STU2	YPL269W	KAR9	4	Lit-BM
YJR072C	NPA3	YNL289W	PCL1	4	Lit-BM
YNR051C	BRE5	YNR051C	BRE5	2	Lit-BM
YDR142C	PEX7	YIL160C	POT1	6	Lit-BM
YKL054C	DEF1	YNL118C	DCP2	1	Lit-BS
YDR188W	CCT6	YJR064W	CCT5	2	Lit-BM
YER118C	SHO1	YGL085W	LCL3	2	Lit-BM
YGL240W	DOC1	YKL022C	CDC16	17	Lit-BM
YKL117W	SBA1	YPL133C	RDS2	2	Lit-BM
YGR128C	UTP8	YHR196W	UTP9	6	Lit-BM
YDL064W	UBC9	YDR390C	UBA2	2	Lit-BM
YBL007C	SLA1	YGL181W	GTS1	2	Lit-BM
YJL154C	VPS35	YOR132W	VPS17	6	Lit-BM
YDR110W	FOB1	YJL076W	NET1	4	Lit-BM
YKL082C	RRP14	YML109W	ZDS2	2	Lit-BM
YER124C	DSE1	YML109W	ZDS2	2	Lit-BM
YMR021C	MAC1	YMR021C	MAC1	3	Lit-BM
YMR250W	GAD1	YMR250W	GAD1	1	Lit-BS
YBR088C	POL30	YCR092C	MSH3	2	Lit-BM
YGL207W	SPT16	YNL102W	POL1	4	Lit-BM
YDR460W	TFB3	YIL143C	SSL2	4	Lit-BM
YGL060W	YBP2	YMR032W	HOF1	2	Lit-BM
YGR140W	CBF2	YNL078W	NIS1	2	Lit-BM
