orf_name_X	orf_name_Y	gene_name_X	gene_name_Y	orientation	source_dataset	S07	r02 v1	r02 v4	seq_r02_v1	seq_r02_v4	seq_S07
YMR165C	YNL162W-A	PAH1	YNL162W-A	DB-Y AD-X	scRRSv2	AA	AA	AA	confirmed	failed	
YDR385W	YER040W	EFT2	GLN3	DB-X AD-Y	scRRSv2	0	0	0			
YDR385W	YER040W	EFT2	GLN3	DB-Y AD-X	scRRSv2	AA	0	AA		failed	
YGL150C	YOR377W	INO80	ATF1	DB-X AD-Y	scRRSv2	0	0	0			
YGL150C	YOR377W	INO80	ATF1	DB-Y AD-X	scRRSv2	AA	0	AA		failed	
YDR492W	YNL330C	IZH1	RPD3	DB-X AD-Y	scRRSv2	0	0	0			
YDR492W	YNL330C	IZH1	RPD3	DB-Y AD-X	scRRSv2	AA	0	AA		failed	
YCL042W	YKL035W	YCL042W	UGP1	DB-X AD-Y	scRRSv2	0	0	0			
YCL042W	YKL035W	YCL042W	UGP1	DB-Y AD-X	scRRSv2	AA	0	AA		failed	
YDR034W-B	YMR294W	YDR034W-B	JNM1	DB-X AD-Y	scRRSv2	0	0	0			
YDR034W-B	YMR294W	YDR034W-B	JNM1	DB-Y AD-X	scRRSv2	AA	0	AA		failed	
