orf_name	GenBank_accession	orf_space	in_db_space	in_ad_space
YKL179C	EF058770	II	1	1
YKL178C	AY692742	II	1	1
YKL176C	DQ332526	II	1	1
YKL175W		III	1	1
YKL174C	EF058379	II	1	1
YKL173W	EF059302	II	0	1
YKL172W	DQ332287	II	1	1
YKL171W	EF058341	II	1	1
YKL170W	AY693037	II	1	1
YKL168C	DQ333016	II	1	1
YKL167C	AY692991	II	1	1
YKL166C	DQ331963	II	1	1
YKL165C	DQ331948	II	1	1
YKL164C	EF059026	II	1	1
YKL163W	EF059023	II	1	1
YKL162C	AY692700	II	1	1
YKL161C	DQ331300	II	0	1
YKL160W	AY558355	II	1	1
YKL159C	DQ331714	II	1	1
YKL157W	AY558356	II	1	1
YKL157W		III	0	1
YKL156W		III	1	1
YKL155C	DQ331517	II	1	1
YKL154W	DQ331508	II	1	1
YKL152C	DQ332621	II	1	1
YKL151C	AY557915	II	1	1
YKL150W	DQ333126	II	1	1
YKL149C	EF059468	II	1	1
YKL148C	DQ332502	II	1	1
YKL146W	DQ332455	II	1	1
YKL145W	DQ332430	II	1	1
YKL144C	DQ332260	II	1	1
YKL143W	EF059262	II	0	1
YKL142W	AY558357	II	1	1
YKL141W	AY693024	II	1	1
YKL140W	DQ332063	II	1	1
YKL139W	DQ332257	II	1	1
YKL138C-A	EF058671	II	0	1
YKL138C	DQ332108	II	1	1
YKL137W	EF058331	II	1	1
YKL135C	DQ332983	II	1	1
YKL134C		III	1	1
YKL133C	EF058607	II	1	1
YKL132C	DQ332943	II	1	1
YKL130C	AY557902	II	1	1
YKL129C		III	1	1
YKL128C	AY692900	II	1	1
YKL127W	DQ331803	II	1	1
YKL126W	DQ331688	II	1	1
YKL125W	DQ331668	II	1	1
YKL124W	DQ332883	II	1	1
YKL122C	AY558352	II	1	1
YKL121W		III	1	1
YKL120W	DQ333160	II	1	1
YKL119C	DQ331994	II	1	1
YKL117W	DQ331882	II	1	1
YKL116C	EF059040	II	1	1
YKL114C		III	1	1
YKL113C	DQ331723	II	1	1
YKL112W	DQ331717	II	1	1
YKL110C		III	1	1
YKL109W	EF059242	II	0	1
YKL108W	DQ332198	II	1	1
YKL107W	DQ332732	II	1	1
YKL106C-A	EF058501	II	1	1
YKL106W	DQ332047	II	1	1
YKL105C		III	0	0
YKL104C	EF059066	II	1	1
YKL103C	EF059062	II	1	1
YKL102C		III	1	1
YKL101W		III	0	1
YKL100C	EF058554	II	1	1
YKL099C		III	1	1
YKL098W	DQ331067	II	1	1
YKL097C		III	1	1
YKL096C-B	EF058712	II	1	1
YKL096W-A	AY558351	II	1	1
YKL096W	EF059200	II	1	1
YKL095W	DQ333018	II	1	1
YKL094W	DQ331989	II	1	1
YKL093W	DQ332987	II	0	1
YKL092C	EF059084	II	1	1
YKL091C		II	1	1
YKL090W	EF059021	II	0	1
YKL089W	EF059028	II	1	1
YKL088W	EF058582	II	1	1
YKL087C	DQ331729	II	1	1
YKL086W	AY558350	II	1	1
YKL085W	AY557914	II	0	1
