orf_name_X	orf_name_Y	gene_name_X	gene_name_Y	orientation	source_dataset	Y2H_v1	Y2H_v4
YPL209C	YBR156C	IPL1	SLI15	DB-X AD-Y	scPRSv2	Autoactivator	Negative
YPL209C	YBR156C	IPL1	SLI15	DB-Y AD-X	scPRSv2	Negative	Negative
YGR082W	YNL131W	TOM20	TOM22	DB-X AD-Y	scPRSv2	Negative	Negative
YGR082W	YNL131W	TOM20	TOM22	DB-Y AD-X	scPRSv2	Negative	Negative
YJL002C	YEL002C	OST1	WBP1	DB-X AD-Y	scPRSv2	Negative	Negative
YJL002C	YEL002C	OST1	WBP1	DB-Y AD-X	scPRSv2	Negative	Negative
YMR149W	YEL002C	SWP1	WBP1	DB-X AD-Y	scPRSv2	Negative	Negative
YMR149W	YEL002C	SWP1	WBP1	DB-Y AD-X	scPRSv2	Negative	Negative
YKL196C	YLR026C	YKT6	SED5	DB-X AD-Y	scPRSv2	Negative	Negative
YKL196C	YLR026C	YKT6	SED5	DB-Y AD-X	scPRSv2	Negative	Negative
YLR293C	YIL063C	GSP1	YRB2	DB-X AD-Y	scPRSv2	Negative	Negative
YLR293C	YIL063C	GSP1	YRB2	DB-Y AD-X	scPRSv2	Negative	Negative
YDR356W	YBR109C	SPC110	CMD1	DB-X AD-Y	scPRSv2	Negative	Negative
YDR356W	YBR109C	SPC110	CMD1	DB-Y AD-X	scPRSv2	Negative	Negative
YLR229C	YBR200W	CDC42	BEM1	DB-X AD-Y	scPRSv2	Negative	Negative
YLR229C	YBR200W	CDC42	BEM1	DB-Y AD-X	scPRSv2	Negative	Negative
YKR068C	YOR115C	BET3	TRS33	DB-X AD-Y	scPRSv2	Negative	Negative
YKR068C	YOR115C	BET3	TRS33	DB-Y AD-X	scPRSv2	Autoactivator	Negative
YGL049C	YER165W	TIF4632	PAB1	DB-X AD-Y	scPRSv2	Negative	Negative
YGL049C	YER165W	TIF4632	PAB1	DB-Y AD-X	scPRSv2	Test failed	Negative
YDL208W	YNL124W	NHP2	NAF1	DB-X AD-Y	scPRSv2	Test failed	Autoactivator
YDL208W	YNL124W	NHP2	NAF1	DB-Y AD-X	scPRSv2	Negative	Negative
YLR229C	YHL007C	CDC42	STE20	DB-X AD-Y	scPRSv2	Test failed	Autoactivator
YLR229C	YHL007C	CDC42	STE20	DB-Y AD-X	scPRSv2	Negative	Negative
