orf_name_a	gene_name_a	orf_name_b	gene_name_b	Uetz-screen	Ito-core	CCSB-YI1	YeRI
YBR193C	MED8	YGR104C	SRB5	True	False	False	False
YBR193C	MED8	YLR295C	ATP14	False	True	False	False
YBR194W	AIM4	YMR070W	MOT3	False	False	True	False
YBR194W	AIM4	YPR152C	URN1	True	False	True	False
YBR195C	MSI1	YLR017W	MEU1	False	False	True	False
YBR195C	MSI1	YPR018W	RLF2	True	False	False	True
YBR196C	PGI1	YGL229C	SAP4	True	False	False	False
YBR198C	TAF5	YGL112C	TAF6	False	False	True	False
YBR199W	KTR4	YCL005W-A	VMA9	False	False	False	True
YBR200W	BEM1	YJL157C	FAR1	False	False	True	False
YBR201W	DER1	YML029W	USA1	False	False	True	False
YBR203W	COS111	YOL054W	PSH1	False	False	False	True
YBR205W	KTR3	YIR038C	GTT1	False	False	True	False
YBR205W	KTR3	YPR107C	YTH1	True	False	False	False
YBR212W	NGR1	YDL167C	NRP1	False	True	False	False
YBR212W	NGR1	YML088W	UFO1	False	False	False	True
YBR212W	NGR1	YPL184C	MRN1	False	False	True	False
YBR216C	YBP1	YML007W	YAP1	False	True	False	False
YBR217W	ATG12	YHR171W	ATG7	True	True	False	False
YBR217W	ATG12	YLL042C	ATG10	False	False	False	True
YBR217W	ATG12	YLR423C	ATG17	False	True	False	False
YBR217W	ATG12	YMR159C	ATG16	True	True	False	False
YBR217W	ATG12	YNR007C	ATG3	False	False	False	True
YBR217W	ATG12	YPL149W	ATG5	True	True	False	True
YBR221C	PDB1	YKL117W	SBA1	False	False	True	False
YBR221C	PDB1	YLR345W		True	False	False	False
YBR222C	PCS60	YDL006W	PTC1	False	False	True	False
YBR223C	TDP1	YDR510W	SMT3	False	True	True	False
YBR223C	TDP1	YGR048W	UFD1	False	False	False	True
YBR227C	MCX1	YHR033W		False	False	False	True
YBR228W	SLX1	YGR198W	YPP1	False	False	False	True
YBR228W	SLX1	YLR135W	SLX4	True	True	False	False
YBR228W	SLX1	YML064C	TEM1	False	False	False	True
YBR230C	OM14	YNL100W	MIC27	False	False	False	True
YBR233W	PBP2	YBR233W	PBP2	False	False	True	False
YBR233W	PBP2	YBR261C	TAE1	False	False	True	False
YBR233W	PBP2	YDR116C	MRPL1	False	False	True	False
YBR233W	PBP2	YDR473C	PRP3	False	False	True	False
YBR233W	PBP2	YGL122C	NAB2	False	False	True	False
YBR233W	PBP2	YIL079C	AIR1	False	False	True	False
YBR233W	PBP2	YKL074C	MUD2	False	False	True	False
YBR233W	PBP2	YLR291C	GCD7	False	False	True	False
YBR233W	PBP2	YNL075W	IMP4	False	False	True	False
YBR233W	PBP2	YNL288W	CAF40	False	False	True	False
YBR233W-A	DAD3	YDR357C	CNL1	False	False	False	True
YBR233W-A	DAD3	YLR313C	SPH1	False	False	False	True
YBR234C	ARC40	YDL029W	ARP2	False	False	True	False
YBR234C	ARC40	YDR063W	AIM7	False	False	True	False
YBR237W	PRP5	YDR073W	SNF11	True	False	False	False
YBR237W	PRP5	YGR013W	SNU71	False	False	False	True
YBR239C	ERT1	YPL133C	RDS2	False	True	False	False
YBR241C		YDR479C	PEX29	False	False	True	False
YBR241C		YIR033W	MGA2	False	False	True	False
YBR241C		YIR038C	GTT1	False	False	True	False
YBR242W		YBR242W		False	False	True	False
YBR243C	ALG7	YIR038C	GTT1	False	False	True	False
